cellLine,drug,doseID,concentration,viability,study
HCC1806,Nilotinib,doses3,0.025,115.4,CCLE
HCC1806,Nilotinib,doses4,0.08,89,CCLE
HCC1806,Nilotinib,doses5,0.25,106.62,CCLE
HCC1806,Nilotinib,doses6,0.8,92,CCLE
HCC1806,Nilotinib,doses7,2.53,90.7,CCLE
HCC1806,Nilotinib,doses8,8,47,CCLE
HCC1954,Nilotinib,doses1,0.0025,99,CCLE
HCC1954,Nilotinib,doses2,0.008,127.5,CCLE
HCC1954,Nilotinib,doses3,0.025,99.34,CCLE
HCC1954,Nilotinib,doses4,0.08,113.5,CCLE
HCC1954,Nilotinib,doses5,0.25,108.79,CCLE
HCC1954,Nilotinib,doses6,0.8,107.89,CCLE
HCC1954,Nilotinib,doses7,2.53,92.8,CCLE
HCC1954,Nilotinib,doses8,8,43,CCLE
HCC70,Nilotinib,doses1,0.0025,94.1,CCLE
HCC70,Nilotinib,doses2,0.008,102.66,CCLE
HCC70,Nilotinib,doses3,0.025,114.4,CCLE
HCC70,Nilotinib,doses4,0.08,119.6,CCLE
HCC70,Nilotinib,doses5,0.25,102.99,CCLE
HCC70,Nilotinib,doses6,0.8,110.1,CCLE
HCC70,Nilotinib,doses7,2.53,101.6,CCLE
HCC70,Nilotinib,doses8,8,88,CCLE
HCT-116,Nilotinib,doses1,0.0025,113.3,CCLE
HCT-116,Nilotinib,doses2,0.008,114.6,CCLE
HCT-116,Nilotinib,doses3,0.025,106.33,CCLE
HCT-116,Nilotinib,doses4,0.08,119.5,CCLE
HCT-116,Nilotinib,doses5,0.25,95.1,CCLE
HCT-116,Nilotinib,doses6,0.8,109.66,CCLE
HCT-116,Nilotinib,doses7,2.53,103.05,CCLE
HCT-116,Nilotinib,doses8,8,75,CCLE
HCT-15,Nilotinib,doses1,0.0025,130.6,CCLE
HCT-15,Nilotinib,doses2,0.008,101.56,CCLE
HCT-15,Nilotinib,doses3,0.025,95,CCLE
HCT-15,Nilotinib,doses4,0.08,99.77,CCLE
HCT-15,Nilotinib,doses5,0.25,97.4,CCLE
HCT-15,Nilotinib,doses6,0.8,90.7,CCLE
HCT-15,Nilotinib,doses7,2.53,88,CCLE
HCT-15,Nilotinib,doses8,8,38,CCLE
HEC-1,Nilotinib,doses1,0.0025,123.1,CCLE
HEC-1,Nilotinib,doses2,0.008,87,CCLE
HEC-1,Nilotinib,doses3,0.025,111.4,CCLE
HEC-1,Nilotinib,doses4,0.08,80,CCLE
HEC-1,Nilotinib,doses5,0.25,147.6,CCLE
HEC-1,Nilotinib,doses6,0.8,99.33,CCLE
HEC-1,Nilotinib,doses7,2.53,68,CCLE
HEC-1,Nilotinib,doses8,8,43,CCLE
HGC-27,Nilotinib,doses1,0.0025,105.32,CCLE
HGC-27,Nilotinib,doses2,0.008,103.3,CCLE
HGC-27,Nilotinib,doses3,0.025,99.77,CCLE
HGC-27,Nilotinib,doses4,0.08,98.5,CCLE
HGC-27,Nilotinib,doses5,0.25,102.91,CCLE
HGC-27,Nilotinib,doses6,0.8,93.4,CCLE
HGC-27,Nilotinib,doses7,2.53,81,CCLE
HGC-27,Nilotinib,doses8,8,31,CCLE
HH,Nilotinib,doses1,0.0025,118.9,CCLE
HH,Nilotinib,doses2,0.008,86,CCLE
HH,Nilotinib,doses3,0.025,96.2,CCLE
HH,Nilotinib,doses4,0.08,135.8,CCLE
HH,Nilotinib,doses5,0.25,85,CCLE
HH,Nilotinib,doses6,0.8,101.94,CCLE
HH,Nilotinib,doses7,2.53,96,CCLE
HH,Nilotinib,doses8,8,112.6,CCLE
HLE,Nilotinib,doses1,0.0025,106.07,CCLE
HLE,Nilotinib,doses2,0.008,106.26,CCLE
HLE,Nilotinib,doses3,0.025,101.63,CCLE
HLE,Nilotinib,doses4,0.08,112.7,CCLE
HLE,Nilotinib,doses5,0.25,115.3,CCLE
HLE,Nilotinib,doses6,0.8,108.38,CCLE
HLE,Nilotinib,doses7,2.53,107.09,CCLE
HLE,Nilotinib,doses8,8,99.13,CCLE
HOS,Nilotinib,doses1,0.0025,93.5,CCLE
HOS,Nilotinib,doses2,0.008,97.1,CCLE
HOS,Nilotinib,doses3,0.025,94.8,CCLE
HOS,Nilotinib,doses4,0.08,104.91,CCLE
HOS,Nilotinib,doses5,0.25,105.3,CCLE
HOS,Nilotinib,doses6,0.8,94,CCLE
HOS,Nilotinib,doses7,2.53,82,CCLE
HOS,Nilotinib,doses8,8,100.05,CCLE
HSC-2,Nilotinib,doses1,0.0025,102.49,CCLE
HSC-2,Nilotinib,doses2,0.008,103.41,CCLE
HSC-2,Nilotinib,doses3,0.025,98.7,CCLE
HSC-2,Nilotinib,doses4,0.08,98.2,CCLE
HSC-2,Nilotinib,doses5,0.25,102.16,CCLE
HSC-2,Nilotinib,doses6,0.8,95.6,CCLE
HSC-2,Nilotinib,doses7,2.53,93.1,CCLE
HSC-2,Nilotinib,doses8,8,82,CCLE
HT,Nilotinib,doses1,0.0025,120.8,CCLE
HT,Nilotinib,doses2,0.008,121.3,CCLE
HT,Nilotinib,doses3,0.025,120.4,CCLE
HT,Nilotinib,doses4,0.08,119.8,CCLE
HT,Nilotinib,doses5,0.25,116.5,CCLE
HT,Nilotinib,doses6,0.8,105.01,CCLE
HT,Nilotinib,doses7,2.53,106.32,CCLE
HT,Nilotinib,doses8,8,111.5,CCLE
HT-1197,Nilotinib,doses1,0.0025,119.6,CCLE
HT-1197,Nilotinib,doses2,0.008,110.9,CCLE
HT-1197,Nilotinib,doses3,0.025,111.4,CCLE
HT-1197,Nilotinib,doses4,0.08,103.13,CCLE
HT-1197,Nilotinib,doses5,0.25,108.38,CCLE
HT-1197,Nilotinib,doses6,0.8,106.63,CCLE
HT-1197,Nilotinib,doses7,2.53,113.5,CCLE
HT-1197,Nilotinib,doses8,8,93.5,CCLE
HT-1376,Nilotinib,doses1,0.0025,120.9,CCLE
HT-1376,Nilotinib,doses2,0.008,114.7,CCLE
HT-1376,Nilotinib,doses3,0.025,95,CCLE
HT-1376,Nilotinib,doses4,0.08,97.6,CCLE
HT-1376,Nilotinib,doses5,0.25,105.59,CCLE
HT-1376,Nilotinib,doses6,0.8,90.4,CCLE
HT-1376,Nilotinib,doses7,2.53,92.3,CCLE
HT-1376,Nilotinib,doses8,8,96.1,CCLE
HT-144,Nilotinib,doses1,0.0025,98.6,CCLE
HT-144,Nilotinib,doses2,0.008,97.2,CCLE
HT-144,Nilotinib,doses3,0.025,97.1,CCLE
HT-144,Nilotinib,doses4,0.08,105.76,CCLE
HT-144,Nilotinib,doses5,0.25,97.9,CCLE
HT-144,Nilotinib,doses6,0.8,95.4,CCLE
HT-144,Nilotinib,doses7,2.53,73,CCLE
HT-144,Nilotinib,doses8,8,35,CCLE
HT-29,Nilotinib,doses1,0.0025,94.3,CCLE
HT-29,Nilotinib,doses2,0.008,103.33,CCLE
HT-29,Nilotinib,doses3,0.025,90.2,CCLE
HT-29,Nilotinib,doses4,0.08,106.71,CCLE
HT-29,Nilotinib,doses5,0.25,105.31,CCLE
HT-29,Nilotinib,doses6,0.8,94.1,CCLE
HT-29,Nilotinib,doses7,2.53,91.7,CCLE
HT-29,Nilotinib,doses8,8,51,CCLE
HuCCT1,Nilotinib,doses1,0.0025,99.23,CCLE
HuCCT1,Nilotinib,doses2,0.008,104.62,CCLE
HuCCT1,Nilotinib,doses3,0.025,103.51,CCLE
HuCCT1,Nilotinib,doses4,0.08,101.77,CCLE
HuCCT1,Nilotinib,doses5,0.25,99.77,CCLE
HuCCT1,Nilotinib,doses6,0.8,95,CCLE
HuCCT1,Nilotinib,doses7,2.53,94.7,CCLE
HuCCT1,Nilotinib,doses8,8,72,CCLE
HuP-T3,Nilotinib,doses1,0.0025,105.56,CCLE
HuP-T3,Nilotinib,doses2,0.008,127.5,CCLE
HuP-T3,Nilotinib,doses3,0.025,116.2,CCLE
HuP-T3,Nilotinib,doses4,0.08,116.2,CCLE
HuP-T3,Nilotinib,doses5,0.25,98.7,CCLE
HuP-T3,Nilotinib,doses6,0.8,95.3,CCLE
HuP-T3,Nilotinib,doses7,2.53,112.5,CCLE
HuP-T3,Nilotinib,doses8,8,79,CCLE
HuP-T4,Nilotinib,doses1,0.0025,127.5,CCLE
HuP-T4,Nilotinib,doses2,0.008,117.4,CCLE
HuP-T4,Nilotinib,doses3,0.025,126.8,CCLE
HuP-T4,Nilotinib,doses4,0.08,106.68,CCLE
HuP-T4,Nilotinib,doses5,0.25,149,CCLE
HuP-T4,Nilotinib,doses6,0.8,82,CCLE
HuP-T4,Nilotinib,doses7,2.53,75,CCLE
HuP-T4,Nilotinib,doses8,8,32,CCLE
IGROV-1,Nilotinib,doses1,0.0025,96.2,CCLE
IGROV-1,Nilotinib,doses2,0.008,104.29,CCLE
IGROV-1,Nilotinib,doses3,0.025,99.42,CCLE
IGROV-1,Nilotinib,doses4,0.08,108.43,CCLE
IGROV-1,Nilotinib,doses5,0.25,95.5,CCLE
IGROV-1,Nilotinib,doses6,0.8,95.4,CCLE
IGROV-1,Nilotinib,doses7,2.53,88,CCLE
IGROV-1,Nilotinib,doses8,8,59,CCLE
IPC-298,Nilotinib,doses1,0.0025,99.44,CCLE
IPC-298,Nilotinib,doses2,0.008,92.1,CCLE
IPC-298,Nilotinib,doses3,0.025,90.7,CCLE
IPC-298,Nilotinib,doses4,0.08,100.67,CCLE
IPC-298,Nilotinib,doses5,0.25,96,CCLE
IPC-298,Nilotinib,doses6,0.8,102.05,CCLE
IPC-298,Nilotinib,doses7,2.53,93.3,CCLE
IPC-298,Nilotinib,doses8,8,70,CCLE
IST-MES1,Nilotinib,doses1,0.0025,131,CCLE
IST-MES1,Nilotinib,doses2,0.008,113.9,CCLE
IST-MES1,Nilotinib,doses3,0.025,89,CCLE
IST-MES1,Nilotinib,doses4,0.08,106.12,CCLE
IST-MES1,Nilotinib,doses5,0.25,96.3,CCLE
IST-MES1,Nilotinib,doses6,0.8,103.84,CCLE
IST-MES1,Nilotinib,doses7,2.53,83,CCLE
IST-MES1,Nilotinib,doses8,8,20,CCLE
JVM-3,Nilotinib,doses1,0.0025,125.9,CCLE
JVM-3,Nilotinib,doses2,0.008,127.4,CCLE
JVM-3,Nilotinib,doses3,0.025,146.5,CCLE
JVM-3,Nilotinib,doses4,0.08,148.6,CCLE
JVM-3,Nilotinib,doses5,0.25,93.9,CCLE
JVM-3,Nilotinib,doses6,0.8,91.3,CCLE
JVM-3,Nilotinib,doses7,2.53,46,CCLE
JVM-3,Nilotinib,doses8,8,38,CCLE
KALS-1,Nilotinib,doses1,0.0025,105.4,CCLE
KALS-1,Nilotinib,doses2,0.008,103.66,CCLE
KALS-1,Nilotinib,doses3,0.025,115.7,CCLE
KALS-1,Nilotinib,doses4,0.08,106.52,CCLE
KALS-1,Nilotinib,doses5,0.25,108.38,CCLE
KALS-1,Nilotinib,doses6,0.8,109.09,CCLE
KALS-1,Nilotinib,doses7,2.53,107.66,CCLE
KALS-1,Nilotinib,doses8,8,77,CCLE
KARPAS-299,Nilotinib,doses1,0.0025,102.37,CCLE
KARPAS-299,Nilotinib,doses2,0.008,89,CCLE
KARPAS-299,Nilotinib,doses3,0.025,125.2,CCLE
KARPAS-299,Nilotinib,doses4,0.08,115.7,CCLE
KARPAS-299,Nilotinib,doses5,0.25,102.69,CCLE
KARPAS-299,Nilotinib,doses6,0.8,103.91,CCLE
KARPAS-299,Nilotinib,doses7,2.53,96.8,CCLE
KARPAS-299,Nilotinib,doses8,8,82,CCLE
KARPAS-422,Nilotinib,doses1,0.0025,106.25,CCLE
KARPAS-422,Nilotinib,doses2,0.008,124.8,CCLE
KARPAS-422,Nilotinib,doses3,0.025,115.4,CCLE
KARPAS-422,Nilotinib,doses4,0.08,102.67,CCLE
KARPAS-422,Nilotinib,doses5,0.25,101.46,CCLE
KARPAS-422,Nilotinib,doses6,0.8,106.81,CCLE
KARPAS-422,Nilotinib,doses7,2.53,119.3,CCLE
KARPAS-422,Nilotinib,doses8,8,108.72,CCLE
KG-1,Nilotinib,doses1,0.0025,111.9,CCLE
KG-1,Nilotinib,doses2,0.008,94.8,CCLE
KG-1,Nilotinib,doses3,0.025,127.6,CCLE
KG-1,Nilotinib,doses4,0.08,114.2,CCLE
KG-1,Nilotinib,doses5,0.25,91.5,CCLE
KG-1,Nilotinib,doses6,0.8,125.6,CCLE
KG-1,Nilotinib,doses7,2.53,102.48,CCLE
KG-1,Nilotinib,doses8,8,75,CCLE
KLE,Nilotinib,doses1,0.0025,128,CCLE
KLE,Nilotinib,doses2,0.008,97.9,CCLE
KLE,Nilotinib,doses3,0.025,126.8,CCLE
KLE,Nilotinib,doses4,0.08,81,CCLE
KLE,Nilotinib,doses5,0.25,105.81,CCLE
KLE,Nilotinib,doses6,0.8,112.2,CCLE
KLE,Nilotinib,doses7,2.53,122.2,CCLE
KLE,Nilotinib,doses8,8,87,CCLE
KNS-42,Nilotinib,doses1,0.0025,100.47,CCLE
KNS-42,Nilotinib,doses2,0.008,114.6,CCLE
KNS-42,Nilotinib,doses3,0.025,84,CCLE
KNS-42,Nilotinib,doses4,0.08,104.23,CCLE
KNS-42,Nilotinib,doses5,0.25,107.21,CCLE
KNS-42,Nilotinib,doses6,0.8,104.7,CCLE
KNS-42,Nilotinib,doses7,2.53,94.5,CCLE
KNS-42,Nilotinib,doses8,8,87,CCLE
KNS-81-FD,Nilotinib,doses1,0.0025,102.9,CCLE
KNS-81-FD,Nilotinib,doses2,0.008,113.2,CCLE
KNS-81-FD,Nilotinib,doses3,0.025,93.4,CCLE
KNS-81-FD,Nilotinib,doses4,0.08,123.8,CCLE
KNS-81-FD,Nilotinib,doses5,0.25,101.04,CCLE
KNS-81-FD,Nilotinib,doses6,0.8,112.5,CCLE
KNS-81-FD,Nilotinib,doses7,2.53,90.8,CCLE
KNS-81-FD,Nilotinib,doses8,8,52,CCLE
KP-4,Nilotinib,doses1,0.0025,115.7,CCLE
KP-4,Nilotinib,doses2,0.008,110.6,CCLE
KP-4,Nilotinib,doses3,0.025,97.6,CCLE
KP-4,Nilotinib,doses4,0.08,99.16,CCLE
KP-4,Nilotinib,doses5,0.25,106.88,CCLE
KP-4,Nilotinib,doses6,0.8,113.2,CCLE
KP-4,Nilotinib,doses7,2.53,94.9,CCLE
KP-4,Nilotinib,doses8,8,61,CCLE
KU812,Nilotinib,doses1,0.0025,107.56,CCLE
KU812,Nilotinib,doses2,0.008,96.9,CCLE
KU812,Nilotinib,doses3,0.025,22,CCLE
KU812,Nilotinib,doses4,0.08,49,CCLE
KU812,Nilotinib,doses5,0.25,5,CCLE
KU812,Nilotinib,doses6,0.8,4,CCLE
KU812,Nilotinib,doses7,2.53,3,CCLE
KU812,Nilotinib,doses8,8,2,CCLE
KURAMOCHI,Nilotinib,doses1,0.0025,112.5,CCLE
KURAMOCHI,Nilotinib,doses2,0.008,116.3,CCLE
KURAMOCHI,Nilotinib,doses3,0.025,106.49,CCLE
KURAMOCHI,Nilotinib,doses4,0.08,114.3,CCLE
KURAMOCHI,Nilotinib,doses5,0.25,112.3,CCLE
KURAMOCHI,Nilotinib,doses6,0.8,105.22,CCLE
KURAMOCHI,Nilotinib,doses7,2.53,77,CCLE
KURAMOCHI,Nilotinib,doses8,8,62,CCLE
KYSE-410,Nilotinib,doses1,0.0025,101.64,CCLE
KYSE-410,Nilotinib,doses2,0.008,100.94,CCLE
KYSE-410,Nilotinib,doses3,0.025,106.74,CCLE
KYSE-410,Nilotinib,doses4,0.08,100.93,CCLE
KYSE-410,Nilotinib,doses5,0.25,100.8,CCLE
KYSE-410,Nilotinib,doses6,0.8,87,CCLE
KYSE-410,Nilotinib,doses7,2.53,92.1,CCLE
KYSE-410,Nilotinib,doses8,8,51,CCLE
KYSE-520,Nilotinib,doses1,0.0025,97.4,CCLE
KYSE-520,Nilotinib,doses2,0.008,95.2,CCLE
KYSE-520,Nilotinib,doses3,0.025,106.52,CCLE
KYSE-520,Nilotinib,doses4,0.08,97.7,CCLE
KYSE-520,Nilotinib,doses5,0.25,104.63,CCLE
KYSE-520,Nilotinib,doses6,0.8,92.4,CCLE
KYSE-520,Nilotinib,doses7,2.53,85,CCLE
KYSE-520,Nilotinib,doses8,8,36,CCLE
L-363,Nilotinib,doses1,0.0025,113.8,CCLE
L-363,Nilotinib,doses2,0.008,121.6,CCLE
L-363,Nilotinib,doses3,0.025,84,CCLE
L-363,Nilotinib,doses4,0.08,102.24,CCLE
L-363,Nilotinib,doses5,0.25,97.2,CCLE
L-363,Nilotinib,doses6,0.8,87,CCLE
L-363,Nilotinib,doses7,2.53,63,CCLE
L-363,Nilotinib,doses8,8,73,CCLE
L-428,Nilotinib,doses1,0.0025,102.96,CCLE
L-428,Nilotinib,doses2,0.008,107.89,CCLE
L-428,Nilotinib,doses3,0.025,122.4,CCLE
L-428,Nilotinib,doses4,0.08,127.4,CCLE
L-428,Nilotinib,doses5,0.25,92.5,CCLE
L-428,Nilotinib,doses6,0.8,89,CCLE
L-428,Nilotinib,doses7,2.53,80,CCLE
L-428,Nilotinib,doses8,8,42,CCLE
LCLC-103H,Nilotinib,doses1,0.0025,94.8,CCLE
LCLC-103H,Nilotinib,doses2,0.008,99.15,CCLE
LCLC-103H,Nilotinib,doses3,0.025,94.9,CCLE
LCLC-103H,Nilotinib,doses4,0.08,107.69,CCLE
LCLC-103H,Nilotinib,doses5,0.25,90.6,CCLE
LCLC-103H,Nilotinib,doses6,0.8,105.78,CCLE
LCLC-103H,Nilotinib,doses7,2.53,94.2,CCLE
LCLC-103H,Nilotinib,doses8,8,94.7,CCLE
LP-1,Nilotinib,doses1,0.0025,120.4,CCLE
LP-1,Nilotinib,doses2,0.008,110.4,CCLE
LP-1,Nilotinib,doses3,0.025,97.1,CCLE
LP-1,Nilotinib,doses4,0.08,117.4,CCLE
LP-1,Nilotinib,doses5,0.25,107.3,CCLE
LP-1,Nilotinib,doses6,0.8,85,CCLE
LP-1,Nilotinib,doses7,2.53,60,CCLE
LP-1,Nilotinib,doses8,8,42,CCLE
LS-123,Nilotinib,doses1,0.0025,103.75,CCLE
LS-123,Nilotinib,doses2,0.008,116.6,CCLE
LS-123,Nilotinib,doses3,0.025,85,CCLE
LS-123,Nilotinib,doses4,0.08,104.93,CCLE
LS-123,Nilotinib,doses5,0.25,112,CCLE
LS-123,Nilotinib,doses6,0.8,113.7,CCLE
LS-123,Nilotinib,doses7,2.53,96.8,CCLE
LS-123,Nilotinib,doses8,8,54,CCLE
LS-513,Nilotinib,doses1,0.0025,114,CCLE
LS-513,Nilotinib,doses2,0.008,103.03,CCLE
LS-513,Nilotinib,doses3,0.025,118.5,CCLE
LS-513,Nilotinib,doses4,0.08,93.6,CCLE
LS-513,Nilotinib,doses5,0.25,106.57,CCLE
LS-513,Nilotinib,doses6,0.8,81,CCLE
LS-513,Nilotinib,doses7,2.53,39,CCLE
LS-513,Nilotinib,doses8,8,61,CCLE
LU-99A,Nilotinib,doses1,0.0025,96.8,CCLE
LU-99A,Nilotinib,doses2,0.008,113.6,CCLE
LU-99A,Nilotinib,doses3,0.025,99.85,CCLE
LU-99A,Nilotinib,doses4,0.08,106.29,CCLE
LU-99A,Nilotinib,doses5,0.25,93.8,CCLE
LU-99A,Nilotinib,doses6,0.8,106.98,CCLE
LU-99A,Nilotinib,doses7,2.53,86,CCLE
LU-99A,Nilotinib,doses8,8,55,CCLE
M059J,Nilotinib,doses1,0.0025,94.7,CCLE
M059J,Nilotinib,doses2,0.008,112.3,CCLE
M059J,Nilotinib,doses3,0.025,95,CCLE
M059J,Nilotinib,doses4,0.08,100.28,CCLE
M059J,Nilotinib,doses5,0.25,90.3,CCLE
M059J,Nilotinib,doses6,0.8,113.2,CCLE
M059J,Nilotinib,doses7,2.53,93.2,CCLE
M059J,Nilotinib,doses8,8,63,CCLE
MC116,Nilotinib,doses1,0.0025,113.8,CCLE
MC116,Nilotinib,doses2,0.008,109.76,CCLE
MC116,Nilotinib,doses3,0.025,116.7,CCLE
MC116,Nilotinib,doses4,0.08,102.39,CCLE
MC116,Nilotinib,doses5,0.25,107.26,CCLE
MC116,Nilotinib,doses6,0.8,107.87,CCLE
MC116,Nilotinib,doses7,2.53,118.4,CCLE
MC116,Nilotinib,doses8,8,102.17,CCLE
MCF7,Nilotinib,doses1,0.0025,141.8,CCLE
MCF7,Nilotinib,doses2,0.008,107.16,CCLE
MCF7,Nilotinib,doses3,0.025,112.1,CCLE
MCF7,Nilotinib,doses4,0.08,134.7,CCLE
MCF7,Nilotinib,doses5,0.25,110.7,CCLE
MCF7,Nilotinib,doses6,0.8,115.3,CCLE
MCF7,Nilotinib,doses7,2.53,77,CCLE
MCF7,Nilotinib,doses8,8,56,CCLE
MDA-MB-157,Nilotinib,doses1,0.0025,103.05,CCLE
MDA-MB-157,Nilotinib,doses2,0.008,126.1,CCLE
MDA-MB-157,Nilotinib,doses3,0.025,93.3,CCLE
MDA-MB-157,Nilotinib,doses4,0.08,110.1,CCLE
MDA-MB-157,Nilotinib,doses5,0.25,93.9,CCLE
MDA-MB-157,Nilotinib,doses6,0.8,120.5,CCLE
MDA-MB-157,Nilotinib,doses7,2.53,90.9,CCLE
MDA-MB-157,Nilotinib,doses8,8,68,CCLE
MDA-MB-415,Nilotinib,doses1,0.0025,90.9,CCLE
MDA-MB-415,Nilotinib,doses2,0.008,119.8,CCLE
MDA-MB-415,Nilotinib,doses3,0.025,109.74,CCLE
MDA-MB-415,Nilotinib,doses4,0.08,110.8,CCLE
MDA-MB-415,Nilotinib,doses5,0.25,106.45,CCLE
MDA-MB-415,Nilotinib,doses6,0.8,90,CCLE
MDA-MB-415,Nilotinib,doses7,2.53,70,CCLE
MDA-MB-415,Nilotinib,doses8,8,8,CCLE
MDA-MB-453,Nilotinib,doses1,0.0025,94.9,CCLE
MDA-MB-453,Nilotinib,doses2,0.008,90,CCLE
MDA-MB-453,Nilotinib,doses3,0.025,117.7,CCLE
MDA-MB-453,Nilotinib,doses4,0.08,98.5,CCLE
MDA-MB-453,Nilotinib,doses5,0.25,94,CCLE
MDA-MB-453,Nilotinib,doses6,0.8,83,CCLE
MDA-MB-453,Nilotinib,doses7,2.53,92.4,CCLE
MDA-MB-453,Nilotinib,doses8,8,59,CCLE
MDA-MB-468,Nilotinib,doses1,0.0025,111.5,CCLE
MDA-MB-468,Nilotinib,doses2,0.008,104.65,CCLE
MDA-MB-468,Nilotinib,doses3,0.025,133.7,CCLE
MDA-MB-468,Nilotinib,doses4,0.08,153,CCLE
MDA-MB-468,Nilotinib,doses5,0.25,107.36,CCLE
MDA-MB-468,Nilotinib,doses6,0.8,120.3,CCLE
MDA-MB-468,Nilotinib,doses7,2.53,94.3,CCLE
MDA-MB-468,Nilotinib,doses8,8,37,CCLE
MEG-01,Nilotinib,doses1,0.0025,108.05,CCLE
MEG-01,Nilotinib,doses2,0.008,85,CCLE
MEG-01,Nilotinib,doses3,0.025,86,CCLE
MEG-01,Nilotinib,doses4,0.08,44,CCLE
MEG-01,Nilotinib,doses5,0.25,10,CCLE
MEG-01,Nilotinib,doses6,0.8,5,CCLE
MEG-01,Nilotinib,doses7,2.53,4,CCLE
MEG-01,Nilotinib,doses8,8,2,CCLE
MEL-HO,Nilotinib,doses1,0.0025,111.9,CCLE
MEL-HO,Nilotinib,doses2,0.008,106.46,CCLE
MEL-HO,Nilotinib,doses3,0.025,103.82,CCLE
MEL-HO,Nilotinib,doses4,0.08,98.2,CCLE
MEL-HO,Nilotinib,doses5,0.25,111.6,CCLE
MEL-HO,Nilotinib,doses6,0.8,100.44,CCLE
MEL-HO,Nilotinib,doses7,2.53,90.7,CCLE
MEL-HO,Nilotinib,doses8,8,44,CCLE
MES-SA,Nilotinib,doses1,0.0025,105.98,CCLE
MES-SA,Nilotinib,doses2,0.008,98.9,CCLE
MES-SA,Nilotinib,doses3,0.025,101.29,CCLE
MES-SA,Nilotinib,doses4,0.08,102.33,CCLE
MES-SA,Nilotinib,doses5,0.25,98.8,CCLE
MES-SA,Nilotinib,doses6,0.8,105.43,CCLE
MES-SA,Nilotinib,doses7,2.53,87,CCLE
MES-SA,Nilotinib,doses8,8,62,CCLE
Mewo,Nilotinib,doses1,0.0025,113.5,CCLE
Mewo,Nilotinib,doses2,0.008,106.02,CCLE
Mewo,Nilotinib,doses3,0.025,104.93,CCLE
Mewo,Nilotinib,doses4,0.08,121.2,CCLE
Mewo,Nilotinib,doses5,0.25,113.2,CCLE
Mewo,Nilotinib,doses6,0.8,142.5,CCLE
Mewo,Nilotinib,doses7,2.53,190.8,CCLE
Mewo,Nilotinib,doses8,8,132.5,CCLE
MFE-280,Nilotinib,doses1,0.0025,118.4,CCLE
MFE-280,Nilotinib,doses2,0.008,108.44,CCLE
MFE-280,Nilotinib,doses3,0.025,121.8,CCLE
MFE-280,Nilotinib,doses4,0.08,96,CCLE
MFE-280,Nilotinib,doses5,0.25,106.16,CCLE
MFE-280,Nilotinib,doses6,0.8,97.2,CCLE
MFE-280,Nilotinib,doses7,2.53,114.7,CCLE
MFE-280,Nilotinib,doses8,8,74,CCLE
MG-63,Nilotinib,doses1,0.0025,102.94,CCLE
MG-63,Nilotinib,doses2,0.008,96.6,CCLE
MG-63,Nilotinib,doses3,0.025,104.83,CCLE
MG-63,Nilotinib,doses4,0.08,103.02,CCLE
MG-63,Nilotinib,doses5,0.25,103.8,CCLE
MG-63,Nilotinib,doses6,0.8,100.71,CCLE
MG-63,Nilotinib,doses7,2.53,103.18,CCLE
MG-63,Nilotinib,doses8,8,67,CCLE
MHH-ES-1,Nilotinib,doses1,0.0025,109.39,CCLE
MHH-ES-1,Nilotinib,doses2,0.008,98.2,CCLE
MHH-ES-1,Nilotinib,doses3,0.025,98.3,CCLE
MHH-ES-1,Nilotinib,doses4,0.08,93.5,CCLE
MHH-ES-1,Nilotinib,doses5,0.25,85,CCLE
MHH-ES-1,Nilotinib,doses6,0.8,77,CCLE
MHH-ES-1,Nilotinib,doses7,2.53,49,CCLE
MHH-ES-1,Nilotinib,doses8,8,12,CCLE
MIA-PaCa-2,Nilotinib,doses1,0.0025,104.33,CCLE
MIA-PaCa-2,Nilotinib,doses2,0.008,101.12,CCLE
MIA-PaCa-2,Nilotinib,doses3,0.025,104.34,CCLE
MIA-PaCa-2,Nilotinib,doses4,0.08,104.28,CCLE
MIA-PaCa-2,Nilotinib,doses5,0.25,104.04,CCLE
MIA-PaCa-2,Nilotinib,doses6,0.8,105.11,CCLE
MIA-PaCa-2,Nilotinib,doses7,2.53,94.1,CCLE
MIA-PaCa-2,Nilotinib,doses8,8,69,CCLE
MKN45,Nilotinib,doses1,0.0025,105.63,CCLE
MKN45,Nilotinib,doses2,0.008,101.73,CCLE
MKN45,Nilotinib,doses3,0.025,112.8,CCLE
MKN45,Nilotinib,doses4,0.08,90.7,CCLE
MKN45,Nilotinib,doses5,0.25,98.9,CCLE
MKN45,Nilotinib,doses6,0.8,96.5,CCLE
MKN45,Nilotinib,doses7,2.53,92.3,CCLE
MKN45,Nilotinib,doses8,8,56,CCLE
MKN7,Nilotinib,doses1,0.0025,101.47,CCLE
MKN7,Nilotinib,doses2,0.008,112.1,CCLE
MKN7,Nilotinib,doses3,0.025,95.1,CCLE
MKN7,Nilotinib,doses4,0.08,105.67,CCLE
MKN7,Nilotinib,doses5,0.25,106.92,CCLE
MKN7,Nilotinib,doses6,0.8,92.9,CCLE
MKN7,Nilotinib,doses7,2.53,115,CCLE
MKN7,Nilotinib,doses8,8,54,CCLE
MOLT-16,Nilotinib,doses1,0.0025,116.5,CCLE
MOLT-16,Nilotinib,doses2,0.008,131.3,CCLE
MOLT-16,Nilotinib,doses3,0.025,101.03,CCLE
MOLT-16,Nilotinib,doses4,0.08,107.36,CCLE
